variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
null,3,zayif,null_fast_hangar,-16,0.0,55.3,55.3,26,13.5,0.1,3,0.0,0.0,-0.1,0.0,0.1,-0.1,0.0,0.0,0.0,0.1,-0.1,0.0,0.0,0.0,57.9,5.7,50.7,96.4,136.1,7.2
null,3,zayif,null_overtime,36,5.3,60.7,55.3,111,5.6,0.44,-124,-0.7,-1.6,-0.2,-1.3,-2.4,-3.8,-3.8,-1.0,0.0,-2.6,-0.4,-0.2,-0.3,-0.3,57.9,5.7,50.7,96.4,136.1,7.2
null,3,zayif,null_prestige_master,-14,0.0,55.3,55.3,17,14.2,0.04,2,0.0,0.0,-0.1,0.0,0.1,0.0,0.0,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,57.9,5.7,50.7,96.4,136.1,7.2
null,3,orta,null_fast_hangar,-299,0.0,0.0,0.0,252,6.9,1.0,-51,-0.1,0.1,-0.1,-0.4,-0.1,0.0,0,0.1,0.0,-0.5,0.0,-0.1,-0.2,0.0,63.3,20.7,102.7,129.2,160,15.0
null,3,orta,null_overtime,-296,0.0,0.0,0.0,252,3.7,1.0,-64,0.1,-0.2,-0.2,-0.7,0.0,0.0,0,0.4,0.0,-0.6,0.2,0.0,-0.3,-0.3,63.3,20.7,102.7,129.2,160,15.0
null,3,orta,null_prestige_master,-920,0.0,0.0,0.0,788,7.1,1.0,-146,-0.2,-0.1,-0.4,-1.3,-0.3,0.0,0,0.4,0.0,-1.2,0.3,0.0,-0.5,0.1,63.3,20.7,102.7,129.2,160,15.0
null,3,iyi,null_fast_hangar,-257,0.0,0.0,0.0,252,5.4,1.0,-13,-0.2,-0.2,-0.3,-0.1,-0.4,0,0,0.4,0,-0.2,0.1,0.1,-0.1,0.1,62.4,31.1,123.7,141.2,160,15.9
null,3,iyi,null_overtime,-247,0.0,0.0,0.0,252,3.2,1.0,-1,-0.3,-0.1,-0.2,0.1,-0.5,0,0,0.4,0,-0.3,0.0,0.1,-0.1,-0.2,62.4,31.1,123.7,141.2,160,15.9
null,3,iyi,null_prestige_master,-740,0.0,0.0,0.0,788,5.6,1.0,45,0.0,0.0,-0.2,0.4,-0.1,0,0,0.1,0,0.1,0.1,0.0,0.0,0.0,62.4,31.1,123.7,141.2,160,15.9
null,4,zayif,null_fast_hangar,-21,0.0,68.0,68.0,32,15.6,0.11,10,-0.0,0.0,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,59.4,4.0,51,89.8,123.0,8.9
null,4,zayif,null_overtime,-19,1.3,69.3,68.0,67,8.1,0.22,-58,-0.1,-0.4,-0.1,-0.5,-0.6,-0.9,-1.0,-0.4,0.0,-0.6,-0.1,-0.2,-0.1,-0.1,59.4,4.0,51,89.8,123.0,8.9
null,4,zayif,null_prestige_master,-38,0.0,68.0,68.0,50,15.8,0.09,10,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,0.0,59.4,4.0,51,89.8,123.0,8.9
null,4,orta,null_fast_hangar,-331,0.0,0.0,0.0,300,7.8,1.0,-29,-0.3,0.1,0.0,-0.2,-0.3,0.0,0,0.2,0.0,-0.4,-0.1,0.1,0.0,-0.2,64.8,15.0,106.5,130.3,160,15.7
null,4,orta,null_overtime,-365,0.0,0.0,0.0,300,4.0,1.0,-71,-0.3,0.1,0.0,-0.5,-0.3,0,0,0.1,0,-0.4,-0.3,0.1,0.2,-0.3,64.8,15.0,106.5,130.3,160,15.7
null,4,orta,null_prestige_master,-991,0.0,0.0,0.0,936,8.3,1.0,-59,-0.3,0.0,-0.1,-0.4,-0.4,0.0,0,0.4,0.0,-0.8,0.0,0.1,-0.1,0.0,64.8,15.0,106.5,130.3,160,15.7
null,4,iyi,null_fast_hangar,-339,0.0,0.0,0.0,300,6.2,1.0,-33,-0.1,0.1,0.2,-0.2,0.0,0,0,-0.1,0,-0.1,-0.2,0.0,0.2,0.1,61.7,24.9,129.8,141.0,160,16.0
null,4,iyi,null_overtime,-246,0.0,0.0,0.0,300,3.5,1.0,64,-0.1,0.4,0.4,0.4,0.2,0,0,-0.1,0,0.1,-0.2,0.0,0.3,0.2,61.7,24.9,129.8,141.0,160,16.0
null,4,iyi,null_prestige_master,-931,0.0,0.0,0.0,938,6.4,1.0,14,-0.0,0.2,0.2,0.1,0.1,0,0,-0.2,0,0.0,-0.1,0.0,0.2,0.1,61.7,24.9,129.8,141.0,160,16.0
fh_s1_r0_xd0,1,zayif,fast_hangar,-6,9.0,28.0,19.0,86,7.0,0.71,-11,-0.2,0.3,0.0,-0.2,-0.5,-0.5,-0.5,0.0,0.0,-0.5,0.0,-0.1,0.0,-0.2,38.4,12.6,23.1,39.7,75.8,14.6
fh_s1_r0_xd0,1,orta,fast_hangar,-91,0.3,0.3,0.0,120,5.5,1.0,31,-0.7,1.5,0.2,0.6,-0.9,-0.1,0,0.9,0.1,-1.0,0.1,0.0,0.2,-0.3,41.6,22.4,37.3,48.5,77,15.2
fh_s1_r0_xd0,1,iyi,fast_hangar,-119,0.0,0.0,0.0,120,5.0,1.0,-7,0.2,0.6,-0.1,-0.2,0.0,0.0,0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,49.0,33.5,53.7,59.1,77,15.4
fh_s1_r0_xd0,2,zayif,fast_hangar,-50,-0.3,20.3,20.7,86,10.6,0.45,25,-0.1,0.6,-0.1,0.4,-0.2,0.0,0.0,-0.1,0.1,0.0,-0.1,0.0,0.1,0.1,53.3,8.9,48.9,87.4,145.6,7.7
fh_s1_r0_xd0,2,orta,fast_hangar,-50,0.0,0.0,0.0,192,6.0,1.0,142,-1.3,2.9,-0.4,2.2,-1.6,0.0,0,1.6,0.0,0.0,-0.2,-0.1,0.0,-0.1,56.9,22.8,82.9,113.7,151,12.6
fh_s1_r0_xd0,2,iyi,fast_hangar,28,0.0,0.0,0.0,192,5.0,1.0,225,-1.0,3.1,0.2,3.0,-0.9,0.0,0,0.8,0.0,0.1,-0.5,0.1,0.0,0.0,60.9,35.7,110.3,130.0,151,15.0
fh_s1_r0_xd0,3,zayif,fast_hangar,-5,0.0,55.3,55.3,26,13.5,0.1,23,-0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.2,-0.1,0.0,0.0,0.1,57.9,5.7,50.7,96.4,136.1,7.2
fh_s1_r0_xd0,3,orta,fast_hangar,-99,0.0,0.0,0.0,252,6.9,1.0,153,-1.3,4.3,-0.6,1.8,-1.5,0.0,0,1.6,0.0,-0.8,-0.1,-0.1,-0.1,0.0,63.3,20.7,102.7,129.2,160,15.0
fh_s1_r0_xd0,3,iyi,fast_hangar,275,0.0,0.0,0.0,252,5.4,1.0,522,-1.3,4.5,-0.1,5.1,-1.7,0,0,1.5,0,0.3,-0.2,0.0,0.0,-0.3,62.4,31.1,123.7,141.2,160,15.9
fh_s1_r0_xd0,4,zayif,fast_hangar,-11,0.0,68.0,68.0,32,15.6,0.11,19,-0.0,0.1,0.0,0.2,-0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,59.4,4.0,51,89.8,123.0,8.9
fh_s1_r0_xd0,4,orta,fast_hangar,70,0.0,0.0,0.0,300,7.8,1.0,387,-1.6,5.2,-0.7,3.4,-1.8,0.0,0,1.8,0.0,-0.5,-0.3,0.1,0.4,-0.1,64.8,15.0,106.5,130.3,160,15.7
fh_s1_r0_xd0,4,iyi,fast_hangar,203,0.0,0.0,0.0,300,6.2,1.0,517,-1.9,5.2,-0.4,4.4,-2.3,0,0,2.2,0,-1.0,-0.2,0.0,0.4,0.2,61.7,24.9,129.8,141.0,160,16.0
fh_s09_r0_xd0,1,zayif,fast_hangar,5,11.3,30.3,19.0,86,7.0,0.71,-7,-0.2,1.1,-0.1,-0.1,-0.6,-0.9,-0.8,-0.2,0.1,-0.6,-0.1,-0.2,0.1,0.0,38.4,12.6,23.1,39.7,75.8,14.6
fh_s09_r0_xd0,1,orta,fast_hangar,-100,0.0,0.0,0.0,120,5.5,1.0,28,-0.6,2.8,0.0,0.6,-0.7,-0.1,0,0.6,0.1,-1.0,0.1,-0.1,0.2,0.0,41.6,22.4,37.3,48.5,77,15.2
fh_s09_r0_xd0,1,iyi,fast_hangar,-81,0.0,0.0,0.0,120,5.0,1.0,28,0.0,1.4,0.0,0.4,-0.2,0.1,0,0.2,-0.1,0.0,-0.1,0.0,0.0,0.1,49.0,33.5,53.7,59.1,77,15.4
fh_s09_r0_xd0,2,zayif,fast_hangar,-58,0.0,20.7,20.7,86,10.6,0.45,8,-0.1,1.5,-0.2,0.1,-0.1,0.0,0.0,-0.1,0.1,-0.3,0.0,0.0,0.1,0.1,53.3,8.9,48.9,87.4,145.6,7.7
fh_s09_r0_xd0,2,orta,fast_hangar,16,0.0,0.0,0.0,192,6.0,1.0,220,-1.4,4.9,-0.7,3.1,-1.6,0.0,0,1.7,0.0,-0.3,-0.2,-0.1,0.3,0.1,56.9,22.8,82.9,113.7,151,12.6
fh_s09_r0_xd0,2,iyi,fast_hangar,177,0.0,0.0,0.0,192,5.0,1.0,374,-1.1,5.1,0.3,4.6,-1.1,0.0,0,1.0,0.0,0.5,-0.6,0.0,0.1,0.0,60.9,35.7,110.3,130.0,151,15.0
fh_s09_r0_xd0,3,zayif,fast_hangar,-5,0.3,55.7,55.3,26,13.5,0.1,12,-0.1,0.2,-0.1,0.1,-0.1,-0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,57.9,5.7,50.7,96.4,136.1,7.2
fh_s09_r0_xd0,3,orta,fast_hangar,54,0.0,0.0,0.0,252,6.9,1.0,303,-1.5,6.7,-1.5,3.3,-1.6,0.0,0,1.7,0.0,-0.3,-0.5,-0.2,-0.2,0.1,63.3,20.7,102.7,129.2,160,15.0
fh_s09_r0_xd0,3,iyi,fast_hangar,478,0.0,0.0,0.0,252,5.4,1.0,722,-0.9,6.5,-0.3,6.8,-1.1,0,0,1.0,0,1.2,-0.5,0.1,-0.1,0.0,62.4,31.1,123.7,141.2,160,15.9
fh_s09_r0_xd0,4,zayif,fast_hangar,-16,0.0,68.0,68.0,32,15.6,0.11,14,-0.0,0.1,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.1,59.4,4.0,51,89.8,123.0,8.9
fh_s09_r0_xd0,4,orta,fast_hangar,28,0.0,0.0,0.0,300,7.8,1.0,332,-1.7,8.1,-1.2,2.9,-1.8,0.0,0,1.7,0.0,-1.6,-0.7,0.1,0.1,0.1,64.8,15.0,106.5,130.3,160,15.7
fh_s09_r0_xd0,4,iyi,fast_hangar,430,0.0,0.0,0.0,300,6.2,1.0,745,-2.0,7.4,-1.1,6.2,-2.4,0,0,2.3,0,-0.4,-0.4,0.0,0.4,0.3,61.7,24.9,129.8,141.0,160,16.0
fh_s08_r0_xd0,1,zayif,fast_hangar,5,10.0,29.0,19.0,86,7.0,0.71,13,-0.4,2.5,0.0,0.3,-0.7,-0.4,-0.4,0.3,0.0,-0.4,0.0,-0.1,0.1,-0.2,38.4,12.6,23.1,39.7,75.8,14.6
fh_s08_r0_xd0,1,orta,fast_hangar,-61,0.0,0.0,0.0,120,5.5,1.0,68,-0.9,4.3,0.4,1.2,-1.0,-0.1,0,0.9,0.1,-0.8,0.0,0.0,0.3,-0.1,41.6,22.4,37.3,48.5,77,15.2
fh_s08_r0_xd0,1,iyi,fast_hangar,-52,0.0,0.0,0.0,120,5.0,1.0,58,0.1,2.9,0.1,0.8,0.0,0.0,0,0.0,0.0,0.2,-0.2,0.0,0.0,0.0,49.0,33.5,53.7,59.1,77,15.4
fh_s08_r0_xd0,2,zayif,fast_hangar,-63,1.7,22.3,20.7,86,10.6,0.45,-35,0.1,2.2,-0.6,-0.5,0.1,-0.2,-0.1,-0.4,0.1,-0.8,0.0,-0.1,-0.1,-0.1,53.3,8.9,48.9,87.4,145.6,7.7
fh_s08_r0_xd0,2,orta,fast_hangar,13,0.0,0.0,0.0,192,6.0,1.0,214,-1.6,7.3,-1.8,3.2,-1.8,0.0,0,2.0,0.0,-0.6,0.0,-0.1,0.0,0.2,56.9,22.8,82.9,113.7,151,12.6
fh_s08_r0_xd0,2,iyi,fast_hangar,92,0.0,0.0,0.0,192,5.0,1.0,293,-1.2,6.7,-1.3,3.9,-1.3,0.0,0,1.2,0.0,-0.6,-0.3,0.1,0.2,0.1,60.9,35.7,110.3,130.0,151,15.0
fh_s08_r0_xd0,3,zayif,fast_hangar,-6,0.3,55.7,55.3,26,13.5,0.1,12,-0.0,0.4,-0.1,0.1,0.1,-0.1,0.0,0.0,0.0,0.1,-0.1,0.0,0.0,0.0,57.9,5.7,50.7,96.4,136.1,7.2
fh_s08_r0_xd0,3,orta,fast_hangar,44,0.0,0.0,0.0,252,6.9,1.0,287,-1.0,10.1,-2.6,3.1,-0.9,0.0,0,0.9,0.0,-1.1,-0.8,-0.2,-0.2,-0.3,63.3,20.7,102.7,129.2,160,15.0
fh_s08_r0_xd0,3,iyi,fast_hangar,412,0.0,0.0,0.0,252,5.4,1.0,670,-2.0,8.7,-1.3,6.6,-2.4,0,0,2.3,0,0.1,-0.3,0.0,0.2,-0.1,62.4,31.1,123.7,141.2,160,15.9
fh_s08_r0_xd0,4,zayif,fast_hangar,-13,0.0,68.0,68.0,32,15.6,0.11,18,-0.0,0.1,0.0,0.2,-0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.1,59.4,4.0,51,89.8,123.0,8.9
